	abv	attenuation_level	boil_volume	brewers_tips	contributed_by	description	ebc	first_brewed	food_pairing	ibu	id	image_url	ingredients	method	name	ph	srm	tagline	target_fg	target_og	volume
5	4.5	73.9	{'value': 25, 'unit': 'litres'}	Add .75g (0.026oz) of Brewers Clarex to your fermentation vessel during casting.	Sam Mason <samjbmason>	A foundation of caramel malt is buttressed by a raucously resinous bitterness, as the rioting backdrop of citrus and tropical fruit flow in waves from those twin titans of the US â€“ Centennial and Amarillo. And it also happens to be gluten free.	20.0	11/2014	['Chinese chicken salad', 'Lemon grilled halibut', 'Apple crumble']	55.0	166	https://images.punkapi.com/v2/166.png	{'malt': [{'name': 'Pale Ale', 'amount': {'value': 3.38, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.19, 'unit': 'kilograms'}}], 'hops': [{'name': 'Centennial', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Amarillo', 'amount': {'value': 87.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Vagabond Pale ALe - Prototype Challenge	4.2	10.0	Gluten Free Beer. Toffee. Piney. Fruitcake.	1011.0	1045.0	{'value': 20, 'unit': 'litres'}
6	7.2	78.6	{'value': 25, 'unit': 'litres'}	The goal here is to make a black beer that tastes like an IPA. Don't overload the black or roasted malts to try and achieve the correct colour. Too much roasted malts will suppress far too much of that beautiful citrus and tropical flavour from the Simcoe. It may be hard to get hold of Carafa, but it will allow you to get a great colour, without all of the characteristic roasty astringent flavours.	Sam Mason <samjbmason>	A dark hop bomb combining the malt-forward indulgences of a stout with the insatiable hopload of an IPA. Rich spiced blackcurrant and caramel up front, with a sharp bitter finish following behind, bringing grapefruit and resin with it. Dry, bitter and intense; this is an IPA first and foremost, given a dark malt makeover. Originally brewed as a Simcoe only single hop IPA, we've experimented with adding a little Cascade and Mosaic for extra depth.	150.0	03/2012	['Grilled king prawns with a chilli lime sauce', 'Blue cheese burger', 'Flourless chocolate ginger cake']	50.0	167	https://images.punkapi.com/v2/167.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.3, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.19, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.19, 'unit': 'kilograms'}}], 'hops': [{'name': 'Simcoe', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 175, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Cascade', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Mosaic', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Libertine Black Ale	4.4	76.0	The New Black. Roasty. Hoppy. Fruity.	1013.0	1068.0	{'value': 20, 'unit': 'litres'}
7	7.2	84.6	{'value': 25, 'unit': 'litres'}	Be aware that this is probably the hoppiest beer you will ever make. Make sure you use fresh hops, for a massive fresh grapefruit hit. Have everything else in your store cupboard, and buy your hops last, as close to brew day as possible!	Sam Mason <samjbmason>	Hopped beyond the point at which IBUs are measurable, only the most hardened palate will get beyond Jack Hammer's intensely resinous pithy bitterness and to the grapefruit, orange zest and dry biscuity malt beyond. You could brew this with less hops, but really, why would you bother?	15.0	06/2012	['Phall Curry', 'Pork burrito with a habanero and mango chilli salsa', 'Ginger and grapefruit poundcake']	250.0	168	https://images.punkapi.com/v2/168.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.8, 'unit': 'kilograms'}}], 'hops': [{'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus Extract', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Citra', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Simcoe', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}	Jack Hammer	4.4	7.5	Ruthless India Pale Ale. Hoppy. Bitter. Hoppy.	1010.0	1065.0	{'value': 20, 'unit': 'litres'}
8	13.1		{'value': 25, 'unit': 'litres'}	It can be difficult to get the perfect balance between both beers. Set up several small blends of varying percentages to determine which you prefer.	Sam Mason <samjbmason>	One of the most complex beers weâ€™ve ever attempted. A blend of two barrel-aged Imperial Saisons â€“ one black, one red â€“ which has in turn then been aged in rum barrels, it is an enormous, intricate beer. A baseline of warm, smoky raisin and plum, followed by punchy flavour elements coming to the fore â€“ coconut, mint and blackcurrant. Thereâ€™s a long undercurrent of treacle toffee, before the finish darkens to liquorice, star anise amidst a touch of honey sweetness.		06/2012	['Game terrine', 'Spiced fruit cake', 'Chocolate, cherry and hazelnut mousse']		169	https://images.punkapi.com/v2/169.png	{'malt': [], 'hops': [], 'yeast': None}	{'mash_temp': [{'temp': {'value': None, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': None, 'unit': 'celsius'}}, 'twist': 'This beer is an odd one in our collection as it is a blend of two recipes that feature elsewhere. These recipes are #123 Everyday Anarchy and #124 Black Jacques. Both Imperial Saisons spent a little under a year in white and red wine barrels respectively. However, while the pair were being tasted to determine their readiness to be released, a fun game of blending turned into a light bulb moment. The beers were blended and laid down once more in our barrel cellar, this time being infused with the heady note of rum. We were so excited about this mystical blend that we ended up using up all the beer that had been lovingly aged. It would have been a travesty for these beers to go unrecognised as the unique individuals they were, so we brewed them again in 2013 to be released as had always been intended. Age the individual beers separately before blending and ageing further on oak chips soaked in rum.'}	AB:19			A Blend of Two Barrel-aged Imperial Saisons.			{'value': 20, 'unit': 'litres'}
9	9.7	83.0	{'value': 25, 'unit': 'litres'}	We also produced two separate barrel- aged versions of this beer; Bashah 2009 Highland Park and Black Raspberry Reserve, and Bashah 2009 Imperial and Tayberry Reserve were two barrel aged versions of the beer. Try ageing this beer on oak or with fruit to make your own reserve.	Sam Mason <samjbmason>	Brewed when our good friends from Stone visited in 2009. Black As Sin, Hoppy As Hell - no other beer name has quite hit the nail so squarely on the head. Dark roasted malt makes a beautiful canvas for the savage hop bitterness, pine needles and orange zest.	30.0	08/2009	['Chocolate creÌ€me bruÌ‚leÌ�e with raspberries', 'Thyme, rosemary and black pepper rubbed roast beef served with fried green beans', 'Angus beef cheeseburger']	100.0	170	https://images.punkapi.com/v2/170.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 8.13, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.16, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.48, 'unit': 'kilograms'}}], 'hops': [{'name': 'Hercules', 'amount': {'value': 31.3, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Magnum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Magnum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Hercules', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3522 - Belgian Ardennesâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 175}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Bashah (w/ Stone Brewing Co)	4.4	15.3	Black Belgian Double IPA.	1015.0	1088.0	{'value': 20, 'unit': 'litres'}
10	6.7	79.7	{'value': 25, 'unit': 'litres'}	"Challenger hops come from English hops farms - try getting hold of some fresh, undried hops and make a ""wet hop"" beer."	Sam Mason <samjbmason>	Challenger is known for its herbal and fruity characteristics. When used alone in a beer like IPA is Dead, Challenger brings light woodsy notes, floral hints, and delicate green tea, alongside more recognisable citrus notes. As a dual-purpose hop, it also yields great bittering potential, which is ideal in a dry bitter IPA.	19.0	02/2012	['Caramelized onion and steak pie', 'Chicken Khua Kling (dry Thai curry)', 'Lemon drizzle cake']	67.0	171	https://images.punkapi.com/v2/171.png	{'malt': [{'name': 'Extra Pale - Spring Blend', 'amount': {'value': 5.87, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.37, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.19, 'unit': 'kilograms'}}], 'hops': [{'name': 'Challenger', 'amount': {'value': 85, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Challenger', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Challenger', 'amount': {'value': 250, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 68, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Challenger	4.4	9.5	Single Hop India Pale Ale â€“ 2012.	1013.0	1064.0	{'value': 20, 'unit': 'litres'}
11	5.0	78.0	{'value': 25, 'unit': 'litres'}	Enigma has a very high alpha acid so be careful not to over do the bittering hops.	Sam Mason <samjbmason>	A cheeky play with a new hop on the pilot kit. Expect notes of redcurrant, melon and citrus. An intriguing possibility for the future.	10.0	01/2016	['JalapenÌƒo poppers with blue cheese dip', 'T-bone steak with fried onions', 'Carrot cake with cream cheese frosting']	50.0	172	https://images.punkapi.com/v2/keg.png	{'malt': [{'name': 'Propino Pale Malt', 'amount': {'value': 4.1, 'unit': 'kilograms'}}], 'hops': [{'name': 'Enigma', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Enigma', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Enigma', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢ & Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 60, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 30}, {'temp': {'value': 72, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 78, 'unit': 'celsius'}, 'duration': 5}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Single Hop Enigma IPA - B-Sides	4.4	5.0	Enigma Hopped IPA.	1011.0	1050.0	{'value': 20, 'unit': 'litres'}
12	7.2	84.0	{'value': 25, 'unit': 'litres'}	Chinook is a hop that can really shine on its own so don't be shy and really throw it at this IPA	Sam Mason <samjbmason>	2015 IPA is Dead series. Often used as a combination hop for American Pale Ales and IPAs, Chinook can really shine when left to front a beer all on its own. The main reason for this is that itâ€™s thunderously piney, with a fistful of spice kicked up in your face as you lie on the beach. A true heavyweight of the brewing industry.	12.0	03/2015	['Chicken fajita spiced monteray jack quesadillas', 'Chilli lime and coriander marinated king prawn cocktail', 'Margarita key lime pie']	100.0	173	https://images.punkapi.com/v2/173.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.39, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 13.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Chinook', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Chinook - IPA Is Dead	4.4	6.0	Single Hop India Pale Ale.	1010.0	1064.0	{'value': 20, 'unit': 'litres'}
13	4.4	82.9	{'value': 25, 'unit': 'litres'}	Squeeze the fresh yuzu juice directly into the beer after primary fermentation is complete. Putting it in the hot wort may seem like better practice, but the juice will cook and some of the fresh citrus character will be lost.	Sam Mason <samjbmason>	Named in a slight deviation from our Hello My Name Is series, Konnichiwa Kitsune is a Japanese- inspired, yuzu-infused Imperial IPA, brewed with Amarillo, Cascade and Citra. These punchy new world hops bring orange, grapefruit and lime to back up the yuzu aroma and flavour. Big mandarin notes, balanced against a caramel malt biscuity base.	30.0	10/2014	['Fresh seared tuna and rocket salad', 'Lemon meringue pie', 'Baked chicken with yuzu reduction']	70.0	174	https://images.punkapi.com/v2/174.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.13, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.86, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Citra', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Cascade', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Cascade', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 18.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavoour'}, {'name': 'Citra', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavouor'}, {'name': 'Cascade', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Amarillo', 'amount': {'value': 137.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Cascade', 'amount': {'value': 87.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 20, 'unit': 'celsius'}}, 'twist': 'Yuzu juice: 250g at FV'}	Konnichiwa Kitsune	4.4	15.0	Hello My Name Is Yuzu.	1012.0	1045.0	{'value': 20, 'unit': 'litres'}
14	9.0	80.0	{'value': 25, 'unit': 'litres'}	Soak oak chips in rum, then steep in the beer for the rum cash finish.	Sam Mason <samjbmason>	Whisky cask aged with raisins soaked in rum. Warm, chocolatey and boozy with refreshing resinous bitterness and a lingering toasty biscuit background from the malt. Toasted oak comes courtesy of the barrels and spicy, sweet, dark fruit flavours from the rum soaked raisins.	190.0	07/2012	['Venison stroganoff', 'Chilli dog', 'Toffee chocolate cheesecake']	70.0	175	https://images.punkapi.com/v2/175.png	{'malt': [{'name': 'Pale Ale - Tipple', 'amount': {'value': 8.32, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 1.79, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 1.19, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.59, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.12, 'unit': 'kilograms'}}], 'hops': [{'name': 'First Gold', 'amount': {'value': 125, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Challenger', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 125, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 50}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Age in whisky casks with rum soaked raisins'}	San Diego Scotch Ale (w/Ballast Point)	4.4	95.0	Imperial Scotch Ale With Rum & Raisin.	1018.0	1090.0	{'value': 20, 'unit': 'litres'}
15	7.5	82.6	{'value': 25, 'unit': 'litres'}	In beers like this with a hefty malt bill, it pays to check a spoonful of the mash with some iodine solution. This will indicate if the mash has converted all of the starch into fermentable sugars. If the colour is very dark, just extend the mash rest by 10 mins and check again.	Sam Mason <samjbmason>	This recreated the epic IPAs that were sent on monumental ocean voyages from England to India by sea in the 1800s. Medium bodied with a complex malt profile, backed up with intense bitterness and a woodsy, earthy rich English hop character.	50.0	10/2011	['Honey glazed ham with spicy roasted carrots', 'Mature cheddar with spicy chutney', 'Peach cobbler']	80.0	176	https://images.punkapi.com/v2/176.png	{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 6.25, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Bramling Cross', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Bramling Cross', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 22, 'unit': 'celsius'}}, 'twist': None}	Old World India Pale Ale	4.4	25.0	English India Pale Ale.	1012.0	1069.0	{'value': 20, 'unit': 'litres'}
16	16.1	84.0	{'value': 25, 'unit': 'litres'}	Steep the coffee in the hot wort for short periods to get the best extraction of aromatic oils, without gaining too much bitterness.	Joakim Skoog <joakimskoog>	Dog D is an extra special brew, marking 8 years of BrewDog. Like Dog A, B & C before it, Dog D is an Imperial Stout with speciality ingredients, only this time weâ€™ve barrel-aged it too. Dog D pours like dark matter into your glass, with a deep tan head. The nose is subtle but powerful, and on the palate, thereâ€™s a treacle toffee backbone, supporting the spicy hop flavour and naga chilli heat.	400.0	05/2015	['Sriracha infused shredded beef', 'Chipotle steak tacos', 'Chilli chocolate fondant']	85.0	177	https://images.punkapi.com/v2/177.png	{'malt': [{'name': 'Pale Ale', 'amount': {'value': 7.5, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.75, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.75, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.75, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.75, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Fuggles', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Fuggles', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Willamette', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Ginger Powder', 'amount': {'value': 1.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Honey', 'amount': {'value': 1250, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Cold Infused Coffee', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 63, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Add 1 naga chilli in the FV'}	Dog D	4.3	200.0	Anniversary Imperial Stout.	1015.0	1125.0	{'value': 20, 'unit': 'litres'}
17	6.7	81.0	{'value': 25, 'unit': 'litres'}	Get the freshest Simcoe for the best profile.	Sam Mason <samjbmason>	A special release of our IPA is Dead series - IPA is Dead Simoce. Hopped to hell with citrusy bitter and aroma hops from the West Coast of the USA. Bitter, orange, mandarin, floral, this IPA showcases the best the west has to offer.	30.0	01/2012	['Beer roasted chicken', 'Ham and pineapple pizza', 'Chocolate cake drizzled with orange']	70.0	178	https://images.punkapi.com/v2/178.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.75, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.32, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.32, 'unit': 'kilograms'}}], 'hops': [{'name': 'Simcoe', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 250, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 99, 'unit': 'celsius'}}, 'twist': None}	Simcoe	4.4	15.0	Single Hop India Pale Ale.	1012.0	1063.0	{'value': 20, 'unit': 'litres'}
18	3.5	73.0	{'value': 25, 'unit': 'litres'}	Dry Hopping: Columbus 37.5g, Centennial 37.5g, Galena 37.5g, Horizon 37.5g	Sam Mason <samjbmason>	Jam-packed with two of our favourite hops - Columbus and Centennial, it has 198 (yes one hundred and ninety eight) theoretical IBUs. We use a lot of caramalt, some amber malt and some chocolate malt to give the little beer as much body and mouthfeel as possible and the ability to handle all the hops we threw at it. We think this beer is the worldâ€™s first ever Imperial Mild. Imperial in terms of hop profile. An Imperially Hopped Mild. BrewDogâ€™s Imperial Mild. How to Disappear Completely.	37.0	04/2009	['Spicy pork sausages with red potato mash', 'Turnip beef stew with crusty fresh baked bread', 'Summer berry cheesecake']	198.0	179	https://images.punkapi.com/v2/179.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 2, 'unit': 'kilograms'}}, {'name': 'Wheat Malt', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Pale Crystal 60', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Dark Crystal 350', 'amount': {'value': 0.081, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.081, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.081, 'unit': 'kilograms'}}], 'hops': [{'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 18.8, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 18.8, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Galena', 'amount': {'value': 18.8, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 18.8, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3522 - Belgian Ardennesâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	How To Disappear Completely	4.4	19.0	Fake Fix Double IPA.	1010.0	1037.0	{'value': 20, 'unit': 'litres'}
